"Categoria";"Veículo";"Programa / seção";"Título";"Data ou ano";"Tema";"Papel de Andréa";"Nome usado";"Link da fonte";"Link do vídeo";"Vídeo / imagem / PDF";"Status do link";"Verificação";"Evidência";"Aparece no site";"Destaque";"Motivo de não aparecer";"Observações";"Verificado em"
"Revistas";"Revista Dieta Já";"Seção Dieta";"Dieta dos 31 Dias";"não informada";"Dieta";"Especialista consultada";"Andréa Marim";"https://fabricadasartes.com.br/six/clipping/dieta-ja-dieta-dos-31-dias/";"";"imagem";"ativo";"Confirmada";"Clipping da assessoria Six: ""Cliente: Dra. Andrea Marim, nutricionista · Veículo: Revista Dieta Já · Seção: Dieta"".";"Não";"";"Título de dieta com prazo fixo conflita com o posicionamento atual.";"";"2026-09-25"
"Revistas";"Revista Reeducação Alimentar";"Seção Mulher";"Alimentação é a chave!";"não informada";"Reeducação alimentar";"Especialista consultada";"Andréa Marim";"https://fabricadasartes.com.br/six/clipping/revista-reeducacao-alimentar-alimentacao-e-a-chave/";"";"imagem";"ativo";"Confirmada";"Clipping da assessoria Six: ""Cliente: Andrea Marim – nutricionista · Veículo: Revista Reeducação Alimentar · Seção: Mulher"".";"Sim";"";"";"";"2026-09-25"
"Jornais";"Diário do Nordeste";"Ser Saúde";"Araçá: saiba para que serve e os benefícios da fruta";"2022-10-11";"Araçá: nutrientes e consumo";"Especialista consultada";"Andréa Marim";"https://diariodonordeste.verdesmares.com.br/ser-saude/araca-saiba-para-que-serve-e-os-beneficios-da-fruta-1.3287706";"";"texto, imagem";"ativo";"Confirmada";"Citada como ""Andrea Marim é nutricionista clínica e funcional, pós-graduada em nutrição esportiva...""";"Sim";"";"";"";"2026-09-25"
"Jornais";"Sampi / Arraso (Piracicaba)";"";"Boa alimentação é essencial para a defesa contra o coronavírus";"2020-03-23";"Alimentação no início da pandemia";"Especialista consultada";"Andréa Marim";"https://sampi.net.br/piracicaba/noticias/1730075/arraso/2020/03/boa-alimentacao-e-essencial-para-a-defesa-contra-o-coronavirus";"";"texto, imagem";"ativo";"Confirmada";"""A nutricionista Andrea Marim alerta: todas as refeições diárias têm que ser rica em nutrientes...""";"Não";"";"Tema de pandemia e recomendações específicas (shot, própolis) podem ser lidos hoje como alegação terapêutica.";"";"2026-09-25"
"Jornais";"Jornal NovaMetrópole";"Corpo";"Projeto Verão: para turbinar os músculos";"2017-11-25";"Alimentação e massa muscular";"Entrevistada";"Andréa Marim";"https://jornalnovametropole.com.br/wp/projeto-verao-para-turbinar-os-musculos/";"";"texto, imagem";"ativo";"Confirmada";"""...explicou a nutricionista Andrea Marim, especialista em Nutrição Esportiva."" (texto de Evelin Azevedo/Infoglobo)";"Não";"";"Título ""Projeto Verão"" conflita com o posicionamento atual (sem estética de projeto verão).";"";"2026-09-25"
"Jornais";"Jornal da Franca";"";"Folha poderosa: entenda os benefícios da couve para a dieta detox";"não informada";"Couve: fibras e nutrientes";"Especialista consultada";"Andréa Marim";"https://www.jornaldafranca.com.br/folha-poderosa-entenda-os-beneficios-da-couve-para-a-dieta-detox/";"";"texto";"ativo";"Confirmada";"""...conta Andréa Marim, nutricionista funcional e esportiva."" (matéria assinada por Cesar Colleti). Data não aparece na página.";"Não";"";"Tema ""dieta detox"" e suco para emagrecer conflitam com o posicionamento atual (mesmo critério das matérias de chá).";"";"2026-09-25"
"Portais e internet";"Minha Vida";"Alimentação";"Proteína: o que é, receitas e como obter sem carne";"2022-11-17";"Fontes de proteína animal e vegetal";"Especialista consultada";"Andréa Marim";"https://www.minhavida.com.br/materias/materia-19953";"";"texto, imagem";"ativo";"Confirmada";"""Especialista consultado: Dra. Andrea Marim"" (data = última atualização exibida pela página).";"Sim";"Sim";"";"";"2026-09-25"
"Portais e internet";"Terra (conteúdo Alto Astral)";"Vida e Estilo";"Chá para emagrecer: perca peso com receitas simples e poderosas";"2020-09-22";"Chás e cuidados no consumo";"Entrevistada";"Andréa Marim";"https://www.terra.com.br/vida-e-estilo/cha-para-emagrecer-perca-peso-com-receitas-simples-e-poderosas%2Ccf0106402e3d1c65b80fdb4cf51025617aowij29.html";"";"texto, imagem";"ativo";"Confirmada";"""...conta a nutricionista Andrea Marim.""";"Não";"";"Título da matéria promete perda de peso (""perca peso""), o que conflita com as regras éticas do site.";"";"2026-09-25"
"Portais e internet";"UOL VivaBem";"";"Chris Pratt faz dieta restritiva inspirada na Bíblia; entenda como funciona";"2019-01-16";"Análise crítica de dieta restritiva da moda";"Especialista consultada";"Andréa Marim";"https://www.uol.com.br/vivabem/noticias/redacao/2019/01/16/chris-pratt-faz-dieta-restritiva-inspirada-na-biblia-mas-funciona-mesmo.amp.htm";"";"texto, imagem";"ativo";"Confirmada";"""...comenta Andrea Marim, nutricionista funcional e esportiva."" Defende transição planejada com profissional de saúde.";"Sim";"";"";"";"2026-09-25"
"Portais e internet";"UOL VivaBem";"";"Isotônico sem indicação faz mal; confira outras bebidas para tomar cuidado";"2019-01-10";"Bebidas esportivas sem indicação";"Especialista consultada";"Andréa Marim";"https://www.uol.com.br/vivabem/noticias/redacao/2019/01/10/6-bebidas-que-atletas-tomam-e-podem-fazer-mal.htm";"";"texto, imagem";"ativo";"Confirmada";"Fontes: ""...Andrea Marim, especializada em nutrição esportiva pela Universidade São Judas Tadeu.""";"Sim";"";"";"";"2026-09-25"
"Portais e internet";"Boa Forma (Abril)";"Dieta";"Como preparar uma marmita saudável para treinar na hora do almoço";"2017-08-23";"Alimentação pré e pós-treino na rotina de trabalho";"Entrevistada";"Andréa Marim";"https://boaforma.abril.com.br/dieta/como-preparar-uma-marmita-saudavel-para-treinar-na-hora-do-almoco/";"";"texto, imagem";"ativo (parte do texto restrita a assinantes)";"Confirmada";"""...diz a nutricionista Andréa Marim, de São Paulo.""";"Sim";"";"";"";"2026-09-25"
"Portais e internet";"UOL VivaBem";"";"Sem tempo para preparar o café da manhã? Aveia matinal é solução prática";"2017-08-12";"Overnight oats: café da manhã prático";"Entrevistada";"Andréa Marim";"https://www.uol.com.br/vivabem/listas/sem-tempo-para-tomar-cafe-da-manha-overnight-oat-pode-ser-a-solucao.htm";"";"texto, imagem";"ativo";"Confirmada";"""...diz a nutricionista Andréa Marim, especializada em Nutrição Esportiva pela Universidade São Judas Tadeu.""";"Sim";"Sim";"";"";"2026-09-25"
"Portais e internet";"CARAS Brasil";"Bem-estar";"Proteína na dieta vegana: saiba qual é a sua importância";"2016-04-20";"Proteína na alimentação vegana";"Entrevistada";"Andréa Marim";"https://caras.com.br/bem-estar/proteina-na-dieta-vegana-saiba-de-sua-importancia.phtml";"";"texto, imagem";"ativo";"Confirmada";"""...afirma a Dra. Andréa Marim, nutricionista da Clínica Dra. Michele Haikal.""";"Sim";"Sim";"";"";"2026-09-25"
"Portais e internet";"Minha Vida";"Especialistas";"Perfil de especialista: Dra. Andrea Marim";"não informada";"Perfil profissional e respostas a leitores";"Especialista colaboradora";"Andréa Marim";"https://www.minhavida.com.br/especialistas/33996-andrea-marim";"";"texto";"ativo";"Confirmada";"Perfil registra colaboração regular com Mãe com Prosa, Alto Astral, Minha Vida, Daqui Dali e Caras, e participação nas revistas Suplementação, Viva Saúde, Segredos da Mente, Ana Maria, Pense Leve, Máxima, Dieta Já e Capricho.";"Sim";"";"";"O perfil exibe ""CRN 15233/SP"", o mesmo registro atual de Andréa (CRN-3 15233).";"2026-09-25"
"Portais e internet";"Minha Vida";"Alimentação";"Abacate: benefícios para a saúde e tabela nutricional";"não informada";"Abacate: nutrientes e consumo";"Especialista consultada";"Andréa Marim";"https://www.minhavida.com.br/alimentacao/ingredientes/3889-abacate";"";"texto, imagem";"ativo";"Parcial";"Listada em ""Matérias de Dra. Andrea Marim"" no perfil de especialista; página ativa (texto não conferido).";"Sim";"";"";"Encontrada na varredura de segunda camada.";"2026-09-25"
"Portais e internet";"Vitat";"";"Remédio para emagrecer: quem tem transtorno alimentar pode tomar?";"não informada";"Medicamentos para emagrecer e transtornos alimentares";"Especialista consultada";"Andréa Marim";"https://vitat.com.br/remedio-para-emagrecer-transtorno-alimentar/";"";"texto";"ativo";"Confirmada";"""...mas sempre com acompanhamento nutricional"", diz Marim. Fontes: ""Andrea Marim, nutricionista"".";"Sim";"";"";"";"2026-09-25"
"Portais e internet";"Metrópoles (parceria Alto Astral)";"Bem-Estar";"Duas xícaras por dia? Veja quantidade de chá ideal para quem quer emagrecer";"não informada";"Limites no consumo de chás";"Especialista consultada";"Andréa Marim";"https://www.metropoles.com/vida-e-estilo/bem-estar/duas-xicaras-por-dia-veja-quantidade-de-cha-ideal-para-quem-quer-emagrecer";"";"texto, imagem";"ativo";"Confirmada";"""...alerta a nutricionista Andrea Marim."" (alerta sobre sono, hipertensão e arritmias)";"Não";"";"Enquadramento ""chá para emagrecer"" conflita com o posicionamento atual.";"";"2026-09-25"
"Vídeos e entrevistas";"Vídeo no YouTube";"";"É verdade que devemos comer de 3 em 3 horas?";"2022-05-11";"Frequência das refeições";"Entrevistada";"Andréa Marim";"https://www.youtube.com/watch?v=YfpEA5YfbIU";"";"vídeo";"ativo";"Confirmada";"Título do vídeo: ""É verdade que devemos comer de 3 em 3 horas? Descubra com a nutricionista Andrea Marim – 11/05/22"".";"Sim";"Sim";"";"O levantamento indica Rede Vida, programa Vida Melhor; o canal não pôde ser conferido na checagem.";"2026-09-25"
"Vídeos e entrevistas";"Vídeo no YouTube";"";"Tapioca ajuda a emagrecer?";"2022-05-03";"Tapioca no contexto da alimentação";"Entrevistada";"Andréa Marim";"https://www.youtube.com/watch?v=vi_fNnmiHh0";"";"vídeo";"ativo";"Confirmada";"Título do vídeo: ""Tapioca ajuda a emagrecer? A nutricionista Andrea Marim responde – 03/05/22"".";"Sim";"";"";"O levantamento indica Rede Vida, programa Vida Melhor; o canal não pôde ser conferido na checagem.";"2026-09-25"
"Vídeos e entrevistas";"Clínica Sirlene Ferreira";"Live";"Dismorfia Corporal com Andréa Marim";"2020-09";"Dismorfia corporal";"Nutricionista convidada";"Andréa Marim";"https://www.sirleneferreira.com.br/video.cfm?id=24";"";"vídeo";"erro de certificado de segurança (TLS) na checagem";"Não verificada";"A página não abriu: o certificado de segurança do site está inválido/expirado.";"Não";"";"Link com erro de segurança; visitantes veriam um alerta do navegador. Reavaliar quando o site da clínica corrigir o certificado.";"";"2026-09-25"
"Vídeos e entrevistas";"Blog E de Repente 50";"";"Nutricionista fala sobre SII, dieta FODMAP e dá receitinha fácil de fazer";"2019-02-15";"Síndrome do intestino irritável e dieta FODMAP";"Entrevistada";"Andréa Marim";"https://ederepente50.wordpress.com/2019/02/15/nutricionista-fala-sobre-sii-dieta-fodmap-e-da-receitinha-facil-de-fazer/";"";"texto, imagem";"ativo";"Confirmada";"""Entrevistei a nutricionista Andréa Marim, especialista em Nutrição Esportiva pela Universidade São Judas Tadeu...""";"Sim";"";"";"";"2026-09-25"
